TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
malus x domestica,,deciduous,49.259452,-123.248811,2297.701668909979,-282.64178385502953
cornus kousa,japanese dogwood,deciduous,49.260431,-123.250723,2226.495114630521,-444.2872904788936
cornus kousa,japanese dogwood,deciduous,49.260546,-123.250886,2222.081325044865,-461.1581109173859
Prunus serrulata,japanese cherry,deciduous,49.260685,-123.251253,2205.8455345231905,-487.3924544954407
Prunus serrulata,japanese cherry,deciduous,49.260708,-123.251275,2205.64258077052,-490.4022742618687
Prunus serrulata,japanese cherry,deciduous,49.260736,-123.251297,2205.7022156511985,-493.90201358823924
dead,,deciduous,49.267579,-123.253855,2401.0598305904978,-1252.3213638669567
acer glabrum,,deciduous,49.267649,-123.253848,2405.1851255331662,-1258.9395377886476
malus x domestica,,deciduous,49.259377,-123.248618,2306.140690791203,-268.6592696398618
malus x domestica,,deciduous,49.259405,-123.248639,2306.264296744081,-272.1246596161193
sorbus aria,chess-apple,deciduous,49.265589,-123.252401,2389.777525348951,-1007.3620837954869
Acer rubrum,red maple,deciduous,49.263634,-123.243579,2852.834713871023,-512.6158701608099
ginkgo biloba,ginkgo,deciduous,49.262699,-123.252188,2251.6568811648617,-716.8693130587437
Acer palmatum,japanese maple,deciduous,49.263929,-123.244424,2814.1355825551,-570.560121131681
Acer palmatum,japanese maple,deciduous,49.263838,-123.244346,2814.3593463498864,-558.9627384249534
tsuga heterophylla,pacific hemlock,coniferous,49.26354,-123.248512,2531.553761859375,-672.9312831708774
Prunus serrulata,japanese cherry,deciduous,49.26076,-123.251315,2205.808300939221,-496.87232793990324
Prunus serrulata,japanese cherry,deciduous,49.260785,-123.251336,2205.77451631329,-500.04374246535065
Pseudotsuga menziesii,douglas-fir,coniferous,49.259427,-123.248555,2312.8067381135015,-271.3932002461596
thuja plicata,pacific red-cedar,coniferous,49.270427,-123.254635,2500.628957113698,-1558.1820363835204
thuja plicata,pacific red-cedar,coniferous,49.270412,-123.254613,2501.2516714153135,-1555.956206404995
fraxinus angustifolia 'raywood',,deciduous,49.26908,-123.255493,2374.86951626014,-1455.6896917630256
thuja plicata,pacific red-cedar,coniferous,49.270425,-123.254628,2500.9727222062493,-1557.7454945809961
acer glabrum,,deciduous,49.267617,-123.253773,2408.3134266648085,-1253.2263871362225
cornus nuttallii,pacific dogwood,deciduous,49.269449,-123.256815,2309.48897352967,-1537.2822641389148
cornus nuttallii,pacific dogwood,deciduous,49.269464,-123.25677,2313.1620560070696,-1537.205281685503
malus x domestica,,deciduous,49.263887,-123.255659,2091.4733504444202,-952.5796027121802
amelanchier grandiflora,,deciduous,49.265807,-123.254945,2238.100337768419,-1116.1614826376467
thuja plicata,pacific red-cedar,coniferous,49.270542,-123.254821,2494.7435177786383,-1575.8424502090197
cornus kousa,japanese dogwood,deciduous,49.26066,-123.250641,2243.7800930941557,-463.9072290853037
Prunus serrulata,japanese cherry,deciduous,49.260662,-123.251234,2205.856100542908,-484.48575098357435
Acer circinatum,vine maple,deciduous,49.263761,-123.247215,2626.3323797224557,-650.0119492052245
pinus nigra,black pine,coniferous,49.264047,-123.24683,2666.039858516441,-664.8051730582894
platanus x hispanica,london plane,deciduous,49.263951,-123.244127,2834.3369760751466,-562.5097669910574
stewartia pseudocamellia,korean stewartia,deciduous,49.263997,-123.244262,2828.0949884179145,-571.6563856543353
stewartia pseudocamellia,korean stewartia,deciduous,49.26402,-123.244198,2833.406908574238,-571.7108396120602
stewartia pseudocamellia,korean stewartia,deciduous,49.264036,-123.244146,2837.5817265090973,-571.4917421896639
stewartia pseudocamellia,korean stewartia,deciduous,49.264061,-123.244087,2842.6780166339004,-571.9140028346212
stewartia pseudocamellia,korean stewartia,deciduous,49.264076,-123.244037,2846.6720669070523,-571.6656514023248
stewartia pseudocamellia,korean stewartia,deciduous,49.263797,-123.243936,2838.499348717568,-540.8559614538913
stewartia pseudocamellia,korean stewartia,deciduous,49.263815,-123.243883,2842.8433270517153,-540.798484947604
picea omorika,serbian spruce,coniferous,49.265653,-123.254781,2240.5278644538676,-1095.4353518961466
prunus yedonensis 'akebono',,deciduous,49.259266,-123.248561,2303.967212981317,-255.82370462424763
malus x domestica,,deciduous,49.259369,-123.248568,2308.927210900387,-266.1568417120235
Abies grandis,grand fir,coniferous,49.259484,-123.247989,2352.099093449755,-257.52470266541604
Pseudotsuga menziesii,douglas-fir,coniferous,49.259532,-123.248053,2350.5152313497124,-264.427736913192
thuja plicata,pacific red-cedar,coniferous,49.259551,-123.247973,2356.6435945087583,-263.5398576204349
Acer platanoides,norway maple,deciduous,49.259531,-123.247977,2355.3368019317104,-261.7176134170469
Acer platanoides,norway maple,deciduous,49.259538,-123.247983,2355.3195974621262,-262.60973829838167
cornus 'eddie's white wonder',,deciduous,49.259512,-123.248003,2352.6716025006763,-260.74950045343064
Acer circinatum,vine maple,deciduous,49.259501,-123.248058,2348.566658875672,-261.56201633308785
Acer circinatum,vine maple,deciduous,49.259697,-123.247988,2363.348518439114,-278.361401394767
cornus 'eddie's white wonder',,deciduous,49.259487,-123.248035,2349.3065267499123,-259.3996931307274
Abies grandis,grand fir,coniferous,49.259555,-123.247907,2361.0864040108386,-261.6633728901328
Abies grandis,grand fir,coniferous,49.259599,-123.247939,2361.3447318691965,-267.07461315425485
Abies grandis,grand fir,coniferous,49.259625,-123.24796,2361.3632866929493,-270.3440285139393
Abies grandis,grand fir,coniferous,49.259676,-123.248001,2361.4120205882173,-276.75050176938964
Abies grandis,grand fir,coniferous,49.259651,-123.247986,2361.0611804442633,-273.7852940894966
Pseudotsuga menziesii,douglas-fir,coniferous,49.259638,-123.248039,2356.9794852410064,-274.33309098374855
thuja plicata,pacific red-cedar,coniferous,49.259609,-123.248015,2356.9957849358484,-270.666606639178
arbutus menziesii,pacific madrone,deciduous,49.259621,-123.248048,2355.5095682881565,-272.9766572140917
Pseudotsuga menziesii,douglas-fir,coniferous,49.259688,-123.248041,2359.4768791209062,-279.3011415175995
Acer circinatum,vine maple,deciduous,49.259674,-123.24808,2356.2405280835856,-279.2697711934303
Acer circinatum,vine maple,deciduous,49.259715,-123.247993,2363.9730921639302,-280.2970041297974
Pseudotsuga menziesii,douglas-fir,coniferous,49.25974,-123.248016,2363.8108745586787,-283.5371717831564
Acer rubrum,red maple,deciduous,49.261511,-123.247115,2514.5930950363104,-426.10479578452714
Acer rubrum,red maple,deciduous,49.261635,-123.246979,2529.8263164811115,-433.581126481207
Acer rubrum,red maple,deciduous,49.261575,-123.247159,2515.13212450412,-433.8881505693241
Acer rubrum,red maple,deciduous,49.261641,-123.247203,2515.776186450942,-441.8674767835031
Acer rubrum,red maple,deciduous,49.261758,-123.247079,2529.872247699467,-449.07030853420395
Acer rubrum,red maple,deciduous,49.261813,-123.247129,2529.5538988862018,-456.17798182728563
Acer rubrum,red maple,deciduous,49.262047,-123.247328,2529.0798884981155,-485.9461049595832
acer x freemanii 'armstrong',,deciduous,49.262871,-123.248186,2517.327795324877,-596.1746625291606
acer x freemanii 'armstrong',,deciduous,49.263071,-123.248349,2517.377618220742,-621.3738759451743
malus x domestica,,deciduous,49.259288,-123.24868,2297.4907236543395,-262.06953134421985
malus x domestica,,deciduous,49.259344,-123.248765,2294.9802365043997,-270.4782651417746
malus x domestica,,deciduous,49.25936,-123.248734,2297.808572022973,-270.9805362634638
malus x domestica,,deciduous,49.259378,-123.248758,2297.2146441765094,-273.56918213012
malus x domestica,,deciduous,49.259374,-123.248788,2295.0806114946727,-274.2083687113595
cornus kousa,japanese dogwood,deciduous,49.260449,-123.250878,2217.5002290491652,-451.3786625411972
cornus kousa,japanese dogwood,deciduous,49.26046,-123.250842,2220.3866014207097,-451.2190972831662
cornus kousa,japanese dogwood,deciduous,49.260872,-123.251218,2217.9108131587554,-504.51244113612654
cornus kousa,japanese dogwood,deciduous,49.260884,-123.251178,2221.10620039966,-504.31336962219916
cornus kousa,japanese dogwood,deciduous,49.260475,-123.250825,2222.2645668681735,-452.10453800370294
cornus kousa,japanese dogwood,deciduous,49.260382,-123.250766,2221.164193133725,-440.96405098194293
cornus kousa,japanese dogwood,deciduous,49.260433,-123.250788,2222.431680353097,-446.71743473686695
Acer palmatum,japanese maple,deciduous,49.268212,-123.256611,2257.595895459342,-1409.0688614564392
carpinus tchonoskii,,deciduous,49.268254,-123.257515,2201.8399098185464,-1444.2562182620418
cornus 'eddie's white wonder',,deciduous,49.259757,-123.248105,2358.9958173658392,-288.2618773558354
fagus sylvatica 'dawyck',,deciduous,49.259911,-123.247048,2434.8707927176456,-267.02308691790813
fagus sylvatica 'dawyck',,deciduous,49.25992,-123.246905,2444.5143681988197,-262.99019097066525
fagus sylvatica 'dawyck',,deciduous,49.260003,-123.247186,2430.8516054476386,-280.7808223530509
cornus 'eddie's white wonder',,deciduous,49.25987,-123.248246,2355.8871803980433,-304.18050189492794
pyrus domestica,,deciduous,49.265953,-123.255884,2185.5589628298826,-1162.7421597384393
acer x freemanii 'armstrong',,deciduous,49.262801,-123.248125,2517.5636874007673,-587.2191788071774
acer x freemanii 'armstrong',,deciduous,49.262934,-123.248235,2517.49385960269,-604.0318240140006
acer x freemanii 'armstrong',,deciduous,49.263,-123.248285,2517.7533455948605,-612.2173096374546
malus x domestica,,deciduous,49.25941,-123.24878,2297.4841806123522,-277.4608855997725
quercus garryana,garry oak,deciduous,49.259434,-123.248884,2292.0747463387233,-283.3871249474379
quercus garryana,garry oak,deciduous,49.259395,-123.248868,2291.05280933358,-279.01574902569837
Acer circinatum,vine maple,deciduous,49.263743,-123.247204,2626.092564153048,-647.8701532456713
picea omorika,serbian spruce,coniferous,49.262683,-123.24947,2425.1146349010005,-621.8827276300918
stewartia pseudocamellia,korean stewartia,deciduous,49.263756,-123.244043,2829.4847192173215,-540.5153443895715
stewartia pseudocamellia,korean stewartia,deciduous,49.26375,-123.244078,2826.925156060257,-541.1301485861916
Acer palmatum,japanese maple,deciduous,49.263711,-123.246664,2659.041158617994,-626.1767074908087
cornus nuttallii,pacific dogwood,deciduous,49.263507,-123.245724,2708.609468866607,-573.8833393696802
stewartia pseudocamellia,korean stewartia,deciduous,49.263836,-123.243824,2847.7296014460994,-540.8287975039411
davidia involucrata,handkerchief-tree,deciduous,49.263704,-123.24376,2844.90284389455,-525.6949455404274
thuja plicata,pacific red-cedar,coniferous,49.263577,-123.24359,2849.1363657539882,-507.40847783399477
acer x freemanii,freeman maple,deciduous,49.262453,-123.247849,2516.9886259593204,-543.6343664673415
acer x freemanii,freeman maple,deciduous,49.262539,-123.247923,2516.7592073986666,-554.6044297829882
acer x freemanii,freeman maple,deciduous,49.26261,-123.247982,2516.70404095471,-563.5891737432274
Acer circinatum,vine maple,deciduous,49.263776,-123.247224,2626.54291438872,-651.7910512743905
Acer circinatum,vine maple,deciduous,49.264006,-123.246786,2666.7084866342957,-659.275592997165
pinus nigra,black pine,coniferous,49.263921,-123.247235,2633.4517793354953,-666.377173255856
pinus nigra,black pine,coniferous,49.263988,-123.246884,2659.478789289371,-660.879706747629
pinus nigra,black pine,coniferous,49.264023,-123.246874,2661.957973794268,-663.9655924906832
pinus nigra,black pine,coniferous,49.264011,-123.24687,2661.584342631082,-662.6522829707899
cornus 'eddie's white wonder',,deciduous,49.264005,-123.246903,2659.1530685466596,-663.1984443387881
pinus nigra,black pine,coniferous,49.263984,-123.246867,2660.3589084598243,-659.9035333952926
pinus nigra,black pine,coniferous,49.263978,-123.24688,2659.2101816052673,-659.7623713233958
calocedrus decurrens,california incense-cedar,coniferous,49.263561,-123.246394,2668.4790351274173,-602.1997569791615
calocedrus decurrens,california incense-cedar,coniferous,49.263566,-123.246329,2672.909923213756,-600.4559017518771
Acer rubrum,red maple,deciduous,49.263681,-123.243614,2853.0580384350924,-518.424095655982
eriobotrya japonica,loquat,deciduous,49.265316,-123.247823,2669.000569160685,-823.2759042265242
platanus x hispanica,london plane,deciduous,49.265204,-123.247706,2670.6217918094644,-808.2805905789385
platanus x hispanica,london plane,deciduous,49.265156,-123.247873,2657.3922204425303,-809.3163845076185
platanus x hispanica,london plane,deciduous,49.265213,-123.247964,2654.550056536621,-818.0289350974875
platanus x hispanica,london plane,deciduous,49.265068,-123.24809,2638.855837077672,-808.1510840445286
platanus x hispanica,london plane,deciduous,49.265026,-123.248211,2628.8910934381006,-808.1940134717329
platanus x hispanica,london plane,deciduous,49.265112,-123.248298,2627.8283484450967,-819.6107154386348
platanus x hispanica,london plane,deciduous,49.265135,-123.248217,2634.230310302189,-819.0807045284195
platanus x hispanica,london plane,deciduous,49.265137,-123.248475,2617.791020807082,-828.1432682400523
pinus nigra,black pine,coniferous,49.265257,-123.248239,2639.2262019914483,-831.7910781879087
pinus nigra,black pine,coniferous,49.265318,-123.248282,2639.6721487227574,-839.2459899470598
populus trichocarpa,california popular,deciduous,49.263302,-123.243968,2810.455786859399,-493.4510115816563
nyssa sylvatica,black tupelo,deciduous,49.268407,-123.256793,2256.168820839066,-1434.4306473157003
quercus robur,pedunculate oak,deciduous,49.268269,-123.256988,2236.4175393054147,-1427.6118550523279
Acer palmatum,japanese maple,deciduous,49.268233,-123.25699,2234.398407937432,-1424.1533136081416
Acer palmatum,japanese maple,deciduous,49.268216,-123.257136,2224.1443559678987,-1427.5059496054419
prunus sato zakura group,,deciduous,49.2681,-123.257354,2204.073854173409,-1423.6333920054249
prunus sato zakura group,,deciduous,49.268114,-123.257425,2200.2568810018965,-1427.4455404875944
thuja plicata,pacific red-cedar,coniferous,49.268789,-123.258221,2184.675059121264,-1520.9421703424284
Pseudotsuga menziesii,douglas-fir,coniferous,49.26883,-123.258172,2189.9703307269056,-1523.2750717466183
thuja plicata,pacific red-cedar,coniferous,49.268831,-123.258157,2190.984597510191,-1522.8574648254205
thuja plicat,,coniferous,49.26887,-123.258176,2191.8149249979556,-1527.3317346126728
liriodendron tulilpifera,,deciduous,49.259742,-123.251392,2147.4074730374123,-399.77138254892304
liriodendron tulilpifera,,deciduous,49.259932,-123.250854,2191.8881496313106,-399.8958683057904
liriodendron tulilpifera,,deciduous,49.259902,-123.250936,2185.053911123815,-399.77487860526946
liriodendron tulilpifera,,deciduous,49.259876,-123.251015,2178.6221300936845,-399.9427170112049
cedrus atlantica,atlantic cedar,coniferous,49.26574,-123.247988,2680.6855004895,-870.4925183993091
juglans ailanthifolia,,deciduous,49.262614,-123.253295,2176.204717373065,-746.5906516064257
quercus palustris,pin oak,deciduous,49.260246,-123.253486,2039.588608260365,-521.1333526341707
quercus palustris,pin oak,deciduous,49.26021,-123.253609,2029.809975663366,-521.8340426563273
quercus palustris,pin oak,deciduous,49.260294,-123.25334,2051.4724507084943,-520.8178646692854
quercus palustris,pin oak,deciduous,49.260397,-123.253015,2077.724014382248,-519.738513148317
thuja plicata 'zebrina',,coniferous,49.261055,-123.254326,2028.2099441575626,-629.275466237406
thuja plicata 'zebrina',,coniferous,49.261025,-123.254306,2027.916861412205,-625.6485189614589
Ilex aquifolium,english holly,deciduous,49.268286,-123.25229,2538.538350232109,-1267.8081972367077
Abies grandis,grand fir,coniferous,49.26732,-123.25457,2341.6112990493775,-1251.5185746303991
Pseudotsuga menziesii,douglas-fir,coniferous,49.262822,-123.250423,2371.3006874307025,-668.2569007861674
Picea sitchensis.,sitka spruce,coniferous,49.262808,-123.25072,2351.5196590485425,-677.0930459214107
magnolia grandiflora,bull bay,deciduous,49.263692,-123.245578,2727.686600311041,-586.9937537161029
Acer circinatum,vine maple,deciduous,49.263484,-123.245722,2707.529990848844,-571.5608874738896
magnolia grandiflora,bull bay,deciduous,49.263738,-123.245607,2728.2423408887585,-592.4977927069623
Acer circinatum,vine maple,deciduous,49.263557,-123.245501,2725.535645605895,-571.1192472697927
Acer circinatum,vine maple,deciduous,49.263437,-123.24573,2704.5489811836974,-567.230382645558
Acer circinatum,vine maple,deciduous,49.263549,-123.245468,2727.231810327261,-569.2012882032133
Acer circinatum,vine maple,deciduous,49.263539,-123.245458,2727.3479977383367,-567.8777549197026
Acer circinatum,vine maple,deciduous,49.263539,-123.245441,2728.438184644676,-567.2935451882666
Acer circinatum,vine maple,deciduous,49.263532,-123.245496,2724.5435403168235,-568.4977202516677
acer platanoides 'crimson king',,deciduous,49.263418,-123.253429,2209.838052547855,-829.9745368959625
acer platanoides 'crimson king',,deciduous,49.263483,-123.253484,2209.7249869966467,-838.2338679811887
ilex aquifolium 'myrtifolia',,deciduous,49.263749,-123.25373,2207.9207150107595,-872.7527392703938
Prunus serrulata,japanese cherry,deciduous,49.262911,-123.25399,2147.235773084989,-799.580494190696
Prunus serrulata,japanese cherry,deciduous,49.262978,-123.254056,2146.5223939356256,-808.413911942362
Prunus serrulata,japanese cherry,deciduous,49.263062,-123.254119,2146.8942632893463,-818.8099032591533
Prunus serrulata,japanese cherry,deciduous,49.263138,-123.254188,2146.4612274471183,-828.6282725040768
prunus cerasifera 'nigra',,deciduous,49.263178,-123.254673,2117.461427981654,-849.2185325838323
fraxinus americana,american ash,deciduous,49.263614,-123.254827,2130.485800773869,-897.2320030330308
cornus 'eddie's white wonder',,deciduous,49.263617,-123.254992,2120.0628639455435,-903.1975352571751
corylus svetlana 'contorta',,deciduous,49.265504,-123.2545,2250.7203487119314,-1071.1776344824807
calocedrus decurrens,california incense-cedar,coniferous,49.265472,-123.25502,2215.696257290021,-1085.9155772613149
acer griseum,paperbark maple,deciduous,49.266303,-123.253472,2358.6017309938898,-1114.1321216035744
thuja occidentalis,northern white-cedar,coniferous,49.266394,-123.25145,2493.035288428233,-1053.5538923641875
acer palmatum var. dissectum 'atropurpureum',,deciduous,49.266822,-123.251794,2493.4550371251157,-1107.3136998357063
Acer palmatum,japanese maple,deciduous,49.263763,-123.249614,2472.5967083528717,-732.6558944532177
Acer rubrum,red maple,deciduous,49.263815,-123.243709,2854.001778537275,-534.8192040289186
Acer rubrum,red maple,deciduous,49.263728,-123.243643,2853.6661431282546,-524.0261382511687
Alnus rubra,red alder,deciduous,49.263476,-123.243784,2831.3919855360714,-504.17813694403117
cornus kousa,japanese dogwood,deciduous,49.260563,-123.250842,2225.795834391075,-461.3114780874961
nyssa sylvatica,black tupelo,deciduous,49.264574,-123.249608,2515.5713552074176,-811.9156679175142
Prunus serrulata,japanese cherry,deciduous,49.265761,-123.251135,2479.9903706306354,-980.7039168923362
Prunus serrulata,japanese cherry,deciduous,49.265751,-123.251151,2478.439226717993,-980.2739727080103
Prunus serrulata,japanese cherry,deciduous,49.265626,-123.251306,2461.9354499737487,-973.3531102872813
Acer palmatum,japanese maple,deciduous,49.265137,-123.252435,2363.8587792632684,-964.2422280588588
taxus baccata,yew,coniferous,49.26516,-123.252726,2346.40683150595,-976.4975747419138
Ilex aquifolium,english holly,deciduous,49.266169,-123.2534,2356.1807647273563,-1098.5278032936735
cornus nuttallii,pacific dogwood,deciduous,49.268575,-123.25856,2151.698975584421,-1511.626975451913
Pseudotsuga menziesii,douglas-fir,coniferous,49.268565,-123.258479,2156.36711878218,-1507.8629797792714
Pseudotsuga menziesii,douglas-fir,coniferous,49.268578,-123.258416,2161.0892898070597,-1506.97121986289
Pseudotsuga menziesii,douglas-fir,coniferous,49.268622,-123.258514,2157.1170841256835,-1514.650838901608
cornus nuttallii,pacific dogwood,deciduous,49.268628,-123.258488,2159.099264953502,-1514.34501953801
Pseudotsuga menziesii,douglas-fir,coniferous,49.268663,-123.258408,2166.0669940098824,-1515.024466505633
Acer palmatum,japanese maple,deciduous,49.268795,-123.258397,2173.7058016358565,-1527.579617463267
thuja plicata,pacific red-cedar,coniferous,49.268758,-123.258306,2177.596871013447,-1520.8264790042049
thuja plicata,pacific red-cedar,coniferous,49.268757,-123.258264,2180.2372190548044,-1519.284851813656
Pseudotsuga menziesii,douglas-fir,coniferous,49.268774,-123.258273,2180.5531263323137,-1521.2598522547528
thuja plicata,pacific red-cedar,coniferous,49.268772,-123.258312,2177.9475475803692,-1522.404423817497
Pseudotsuga menziesii,douglas-fir,coniferous,49.268878,-123.257977,2204.9942208291986,-1521.2754796373779
Acer palmatum,japanese maple,deciduous,49.268845,-123.257936,2205.8896162260216,-1516.6328957814399
picea omorika,serbian spruce,coniferous,49.268762,-123.257923,2202.3634568926523,-1508.0537583033258
Acer palmatum,japanese maple,deciduous,49.268818,-123.257948,2203.7020165838953,-1514.3999162646883
thuja plicata,pacific red-cedar,coniferous,49.268877,-123.257865,2212.1226947449863,-1517.327816207463
thuja plicata 'zebrina',,coniferous,49.268553,-123.258174,2175.2922709825834,-1496.2035426822615
chamaecyparis obtusa 'nana',,coniferous,49.268658,-123.258279,2174.0753455713575,-1510.1004938682852
liriodendron tulilpifera,,deciduous,49.259801,-123.251241,2160.189763615851,-400.3621324455869
liriodendron tulilpifera,,deciduous,49.259707,-123.251343,2148.7117754397336,-394.65767177034695
picea omorika,serbian spruce,coniferous,49.265874,-123.254728,2255.5336628950695,-1115.2675996044916
amelanchier grandiflora,,deciduous,49.265774,-123.255027,2231.10914741135,-1115.7465826800544
picea omorika,serbian spruce,coniferous,49.265562,-123.254506,2253.3818724166003,-1077.066809626055
Acer circinatum,vine maple,deciduous,49.267239,-123.254473,2343.576651106603,-1240.2481177160898
quercus palustris,pin oak,deciduous,49.265458,-123.251585,2435.2220709747153,-966.4807561215164
quercus palustris,pin oak,deciduous,49.265402,-123.251719,2423.688532916658,-965.5991417547932
picea,spruce,coniferous,49.265261,-123.252366,2374.7956351132348,-974.0206212037172
taxus baccata,yew,coniferous,49.265185,-123.252738,2346.9503363469466,-979.3595947441976
taxus baccata,yew,coniferous,49.265257,-123.252801,2346.6919742954597,-988.5797027064147
taxus baccata,yew,coniferous,49.265301,-123.252834,2346.8867696609777,-994.0251749026781
Pseudotsuga menziesii,douglas-fir,coniferous,49.268865,-123.258091,2197.0021520132523,-1523.9201867706943
Pseudotsuga menziesii,douglas-fir,coniferous,49.268877,-123.25811,2196.414264363866,-1525.749013711994
cryptomeria japonica,japanese red-cedar,coniferous,49.268927,-123.258054,2202.6310753958646,-1528.7231347844931
pinus nigra,black pine,coniferous,49.268592,-123.257438,2224.530542430261,-1474.7267400663536
magnolia,magnolia,deciduous,49.268106,-123.258075,2158.1605295220534,-1449.0038697668256
magnolia,magnolia,deciduous,49.268183,-123.258121,2159.2556789027262,-1458.1294318906812
picea omorika,serbian spruce,coniferous,49.26819,-123.258344,2145.325312023942,-1466.4804480548257
Pseudotsuga menziesii,douglas-fir,coniferous,49.268257,-123.258279,2153.0121842844355,-1470.8108137153752
Pseudotsuga menziesii,douglas-fir,coniferous,49.268265,-123.258257,2154.8429645681426,-1470.838443997544
Pseudotsuga menziesii,douglas-fir,coniferous,49.268281,-123.258337,2150.554055399656,-1475.155945004042
Pseudotsuga menziesii,douglas-fir,coniferous,49.268343,-123.258417,2148.6813835920157,-1483.9804908012181
Pseudotsuga menziesii,douglas-fir,coniferous,49.268517,-123.258479,2153.845830104635,-1503.1599822520739
Pseudotsuga menziesii,douglas-fir,coniferous,49.26853,-123.258454,2156.1315860157574,-1503.5743887109663
thuja plicata,pacific red-cedar,coniferous,49.268488,-123.258421,2156.0412991408894,-1498.3249599354265
Acer palmatum,japanese maple,deciduous,49.268508,-123.258425,2156.835369276928,-1500.4220344673006
Pseudotsuga menziesii,douglas-fir,coniferous,49.268498,-123.258311,2163.619366777492,-1495.5237414843855
Acer palmatum,japanese maple,deciduous,49.2685,-123.258294,2164.8143986487385,-1495.1353629780256
Acer palmatum,japanese maple,deciduous,49.268519,-123.258249,2168.697641209202,-1495.450196033858
Pseudotsuga menziesii,douglas-fir,coniferous,49.268535,-123.258239,2170.1792296925696,-1496.6741375283773
chamaecyparis pisifera,sawara-cypress,coniferous,49.268541,-123.258215,2172.0331817880706,-1496.4370691249665
Pseudotsuga menziesii,douglas-fir,coniferous,49.268535,-123.258319,2165.0499213503313,-1499.4239550247448
Ilex aquifolium,english holly,deciduous,49.268537,-123.258564,2149.446486483901,-1508.0412630276019
Pseudotsuga menziesii,douglas-fir,coniferous,49.268559,-123.258595,2148.6144777546324,-1511.2623639453618
Pseudotsuga menziesii,douglas-fir,coniferous,49.268563,-123.258544,2152.094511258302,-1509.9012598382426
eucryphia x nymanensis,,deciduous,49.267704,-123.254334,2376.9117778303944,-1281.0322567355165
fraxinus angustifolia 'raywood',,deciduous,49.269186,-123.255581,2374.7946782473523,-1469.1002524549808
fraxinus angustifolia 'raywood',,deciduous,49.269214,-123.255117,2406.0155196077317,-1455.8961548318316
cornus kousa,japanese dogwood,deciduous,49.260704,-123.250514,2254.2353320142724,-463.85335131972784
"prunus ceracifera ""nigeria""",,deciduous,49.265913,-123.254731,2257.3896545765283,-1119.1919993096644
liquidambar styraciflua,alligator-wood,deciduous,49.260193,-123.247657,2410.6226850181156,-315.5862388476394
fagus sylvatica 'dawyck',,deciduous,49.259994,-123.247207,2429.03221531126,-280.620694619692
fagus sylvatica 'dawyck',,deciduous,49.259977,-123.247255,2425.0611516407585,-280.6046434489066
fagus sylvatica 'dawyck',,deciduous,49.259968,-123.247287,2422.536303741979,-280.8225800849757
fagus sylvatica 'dawyck',,deciduous,49.25996,-123.247308,2420.7694246689944,-280.760442009351
fagus sylvatica 'dawyck',,deciduous,49.259953,-123.247329,2419.0550576212067,-280.79629124051087
liquidambar styraciflua,alligator-wood,deciduous,49.260262,-123.247358,2433.421517288604,-312.0708876620371
fagus sylvatica 'dawyck',,deciduous,49.260063,-123.246997,2446.123355198885,-280.16427505828483
fagus sylvatica 'dawyck',,deciduous,49.260075,-123.246972,2448.356808199871,-280.48089382051717
fagus sylvatica 'dawyck',,deciduous,49.260089,-123.246938,2451.2724762211083,-280.68416708160817
fagus sylvatica 'dawyck',,deciduous,49.260099,-123.246892,2454.7476860896554,-280.0830673640327
fagus sylvatica 'dawyck',,deciduous,49.260108,-123.246872,2456.50294024222,-280.27757306970796
fagus sylvatica 'dawyck',,deciduous,49.26012,-123.246839,2459.249450837943,-280.3192457066459
hamamelis,witch-hazel,deciduous,49.260096,-123.246812,2459.720748955793,-277.03959839367883
liquidambar styraciflua,alligator-wood,deciduous,49.260224,-123.247566,2418.0865871384735,-315.49620369322133
liquidambar styraciflua,alligator-wood,deciduous,49.260255,-123.247478,2425.3580897426655,-315.5092872940719
liquidambar styraciflua,alligator-wood,deciduous,49.260374,-123.247116,2454.8228244475035,-314.7281022307426
liquidambar styraciflua,alligator-wood,deciduous,49.260392,-123.247082,2457.9485275170105,-315.3233245382436
liquidambar styraciflua,alligator-wood,deciduous,49.260421,-123.247004,2464.473667290335,-315.4841785957525
liquidambar styraciflua,alligator-wood,deciduous,49.26044,-123.246955,2468.613858874658,-315.6618630201225
liquidambar styraciflua,alligator-wood,deciduous,49.260458,-123.246903,2472.8939333605513,-315.63845784396426
thuja plicata,pacific red-cedar,coniferous,49.268936,-123.257857,2215.7346602267003,-1522.8336326652557
Acer circinatum,vine maple,deciduous,49.268966,-123.257799,2221.02916955392,-1523.77944101015
Acer circinatum,vine maple,deciduous,49.269015,-123.257809,2222.9617826927874,-1528.9241608432803
Acer circinatum,vine maple,deciduous,49.269024,-123.257778,2225.422110676991,-1528.7404460921375
robinia pseudoacacia 'frisia',,deciduous,49.260272,-123.249885,2271.8864777165386,-399.90432686982615
robinia pseudoacacia 'frisia',,deciduous,49.260223,-123.250029,2260.0783640318273,-400.0525463115714
robinia pseudoacacia 'frisia',,deciduous,49.260198,-123.250103,2254.0197841816,-400.14641698882883
robinia pseudoacacia 'frisia',,deciduous,49.26017,-123.250177,2247.8036541445895,-399.94634068293317
ulmus laevis,russian elm,deciduous,49.264462,-123.253306,2272.5564073680744,-928.0406314722093
Acer palmatum,japanese maple,deciduous,49.264463,-123.253204,2279.14956638152,-924.6327447854658
