TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
prunus serrulata ,japanese cherry ,deciduous,49.265468,-123.258264,2007.4774018865878,-1197.0311204507266
Thuja plicata,western red cedar,coniferous,49.26549,-123.258276,2007.8635417254377,-1199.5991610858018
Thuja plicata,western red cedar,coniferous,49.265496,-123.25831,2005.9986110657946,-1201.3557806364847
acer palmatum ,japanese maple ,deciduous,49.265239,-123.25801,2011.7354846634707,-1165.8626607479334
ginkgo biloba,ginkgo tree,deciduous,49.265189,-123.258072,2005.1336852475154,-1163.0949306222956
ginkgo biloba,ginkgo tree,deciduous,49.265148,-123.258192,1995.2856102286873,-1163.2027696209989
ginkgo biloba,ginkgo tree,deciduous,49.265108,-123.258304,1986.0030218659056,-1163.1336059550981
ginkgo biloba,ginkgo tree,deciduous,49.265069,-123.258413,1976.9653166640796,-1163.0593125772266
Pseudotsuga menziesii,douglas-fir,coniferous,49.260545,-123.257096,1823.7898185239637,-674.5264017579907
prunus serrulata ,japanese cherry ,deciduous,49.260633,-123.256875,1842.5841228702725,-675.5513025436875
prunus serrulata ,japanese cherry ,deciduous,49.2607,-123.256854,1847.449945112148,-681.3940543704288
prunus serrulata ,japanese cherry ,deciduous,49.260724,-123.256886,1846.6584681285658,-684.8456389254197
liquidambar styraciflua,sweet gum ,deciduous,49.260695,-123.256747,1854.0489319403555,-677.225827199459
acer circinatum ,vine maple ,deciduous,49.260574,-123.256905,1837.5613489168486,-670.8017873316165
Pseudotsuga menziesii,douglas-fir,coniferous,49.26071,-123.257097,1832.3923067417106,-690.7274719294609
Pseudotsuga menziesii,douglas-fir,coniferous,49.260643,-123.257199,1822.332170730217,-687.6692906402141
thuja plicata ,western red cedar ,coniferous,49.260686,-123.257185,1825.488527388767,-691.4011446783759
prunus serrulata ,japanese cherry ,deciduous,49.261087,-123.256995,1858.7351222040338,-724.1594815055553
prunus serrulata ,japanese cherry ,deciduous,49.261004,-123.256904,1860.2110947033816,-712.8988502300494
prunus serrulata ,japanese cherry ,deciduous,49.261138,-123.257039,1858.5923208373615,-730.6690407608916
prunus serrulata ,japanese cherry ,deciduous,49.261159,-123.256976,1863.735312718788,-730.5608863311576
pinus ponderosa ,ponderosa pine ,coniferous,49.26073,-123.257077,1834.7253460334068,-691.9995290450655
pinus ponderosa ,ponderosa pine ,coniferous,49.260774,-123.257084,1836.5875536599247,-696.5512873155981
